City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,300.09,75,21,4.64,MU,1712898828
1,happy valley-goose bay,53.3168,-60.3315,275.52,83,92,3.26,CA,1712898831
2,stanley,54.868,-1.6985,284.16,84,75,5.14,GB,1712898651
3,hamilton,39.1834,-84.5333,284.49,82,100,9.83,US,1712898658
4,ilomantsi,62.6716,30.9328,275.76,99,100,2.29,FI,1712898840
5,adamstown,-25.066,-130.1015,294.88,52,43,5.06,PN,1712898844
6,emerald,-23.5333,148.1667,303.34,25,0,4.18,AU,1712898847
7,kavaratti,10.5669,72.642,302.45,68,27,3.53,IN,1712898850
8,puerto natales,-51.7236,-72.4875,275.6,92,49,1.95,CL,1712898852
9,kiunga,-6.1219,141.2906,301.93,72,100,0.87,PG,1712898854
10,iskateley,67.6803,53.1512,266.49,94,100,6.71,RU,1712898856
11,kruisfontein,-34.0033,24.7314,284.75,70,13,3.4,ZA,1712898859
12,punta arenas,-53.15,-70.9167,280.99,75,55,5.89,CL,1712898861
13,lihue,21.9789,-159.3672,295.92,88,100,9.77,US,1712898863
14,avarua,-21.2078,-159.775,301.18,89,75,7.2,CK,1712898814
15,mata-utu,-13.2816,-176.1745,302.76,77,22,5.44,WF,1712898867
16,tiksi,71.6872,128.8694,251.95,86,20,9.32,RU,1712898869
17,edinburgh of the seven seas,-37.0676,-12.3116,291.98,92,45,8.17,SH,1712898872
18,bredasdorp,-34.5322,20.0403,285.05,80,28,2.66,ZA,1712898874
19,invercargill,-46.4,168.35,283.16,81,86,1.79,NZ,1712898604
20,baotou,40.6522,109.8222,294.55,15,2,3.16,CN,1712898878
21,ushuaia,-54.8,-68.3,277.18,98,92,2.15,AR,1712898696
22,bethel,41.3712,-73.414,290.2,88,100,4.12,US,1712898635
23,papatowai,-46.5619,169.4708,281.83,71,79,2.17,NZ,1712898888
24,shingu,33.7333,135.9833,290.81,66,92,2.98,JP,1712898892
25,salalah,17.0151,54.0924,302.2,70,75,3.6,OM,1712898895
26,dongcun,36.7767,121.1597,290.09,64,91,4.58,CN,1712898898
27,porteirinha,-15.7433,-43.0283,294.4,79,91,2.82,BR,1712898900
28,srem,52.0887,17.0151,285.21,75,100,2.75,PL,1712898903
29,kodiak,57.79,-152.4072,275.88,87,0,1.54,US,1712898906
30,thompson,55.7435,-97.8558,272.44,94,100,1.89,CA,1712898908
31,khobar,26.2794,50.2083,301.23,36,20,6.17,SA,1712898911
32,port lincoln,-34.7333,135.8667,289.63,56,31,4.66,AU,1712898913
33,whitehorse,60.7161,-135.0538,274.32,82,100,4.27,CA,1712898682
34,tekirova,36.5017,30.5272,294.19,56,2,0.72,TR,1712898919
35,bikenibeu village,1.3673,173.1241,303.13,79,20,3.09,KI,1712898921
36,grytviken,-54.2811,-36.5092,273.2,78,40,4.31,GS,1712898924
37,yuzhno-kurilsk,44.0306,145.8556,277.8,76,100,4.51,RU,1712898926
38,qaqortoq,60.7167,-46.0333,263.94,83,13,3.02,GL,1712898929
39,gotsucho,35.0,132.2167,291.34,62,82,3.82,JP,1712898931
40,olonkinbyen,70.9221,-8.7187,265.96,89,100,10.33,SJ,1712898933
41,wailua homesteads,22.0669,-159.378,295.59,91,100,9.77,US,1712898935
42,saipan,15.1355,145.701,304.54,62,40,7.72,MP,1712898937
43,preobrazheniye,42.9019,133.9064,285.89,66,3,2.64,RU,1712898939
44,tazovsky,67.4667,78.7,257.47,83,100,10.51,RU,1712898942
45,woodward,36.4337,-99.3904,281.66,53,0,3.09,US,1712898878
46,magadan,59.5667,150.8,272.33,91,31,1.1,RU,1712898947
47,mili,6.0815,171.735,299.99,87,100,7.26,MH,1712898949
48,malmberget,67.1753,20.6549,272.46,74,0,2.06,SE,1712898952
49,port alfred,-33.5906,26.891,286.03,83,99,3.58,ZA,1712898955
50,usogorsk,63.4106,48.6872,275.19,97,100,6.11,RU,1712898960
51,rubtsovsk,51.5,81.25,274.06,44,29,4.58,RU,1712898963
52,yelizovo,53.1873,158.3805,282.23,31,0,3.0,RU,1712898965
53,mizdah,31.4451,12.9801,286.25,90,100,7.83,LY,1712898968
54,zalingei,12.9096,23.4741,297.53,15,63,2.49,SD,1712898971
55,yellowknife,62.456,-114.3525,274.49,85,68,1.34,CA,1712898974
56,berezovyy,51.6667,135.7,288.81,24,52,3.2,RU,1712898977
57,tromso,69.6496,18.957,275.16,87,75,3.09,NO,1712898814
58,charters towers,-20.1,146.2667,302.51,29,0,4.98,AU,1712898982
59,lae,-6.7221,146.9847,300.52,77,54,3.97,PG,1712898985
60,ust-nera,64.5667,143.2,272.16,82,71,3.12,RU,1712898988
61,haywards heath,50.9977,-0.1031,283.83,91,0,4.12,GB,1712898804
62,puerto ayora,-0.7393,-90.3518,298.46,98,81,2.43,EC,1712898994
63,dunedin,-45.8742,170.5036,282.48,84,100,0.89,NZ,1712898979
64,atafu village,-8.5421,-172.5159,303.09,73,82,3.89,TK,1712898999
65,constantia,44.1833,28.65,288.54,81,14,4.12,RO,1712899001
66,waitangi,-43.9535,-176.5597,289.72,94,98,4.47,NZ,1712899004
67,hawaiian paradise park,19.5933,-154.9731,294.88,98,100,2.57,US,1712899007
68,traipu,-9.9706,-37.0033,297.21,97,25,0.86,BR,1712899009
69,mount isa,-20.7333,139.5,302.02,21,2,3.6,AU,1712899012
70,albany,42.6001,-73.9662,289.31,82,100,4.02,US,1712898894
71,meadow lakes,61.6247,-149.6011,277.77,56,100,3.6,US,1712899018
72,port-aux-francais,-49.35,70.2167,279.4,89,99,7.95,TF,1712899022
73,spring creek,40.7266,-115.5859,285.54,49,64,2.75,US,1712899025
